name hindex
"Aarti Gupta" 40
"Aditya Akella" 43
"Ahmed Saeed" 8
"Alberto Dainotti" 23
"Alex C. Snoeren" 43
"Alistair Riddoch" 4
"Alon Berger" 0
"Amin Firoozshahian" 10
"Amin Vahdat" 81
"Andreas Haeberlen" 30
"Andrei Voinescu" 6
"Andrew W. Moore" 27
"Anirudh Sivaraman" 11
"Anja Feldmann" 61
"Ankit Mishra" 1
"Ankit Singla" 13
"Ariel Orda" 39
"Arjun Guha" 18
"Arjun Roy" 3
"Arvind Krishnamurthy" 55
"Asaf Valadarsky" 2
"Aurojit Panda" 16
"Barath Raghavan" 23
"Bhaskaran Raman" 31
"Boon Thau Loo" 32
"Brandon Schlinker" 6
"Brighten Godfrey" 30
"Changhoon Kim" 24
"Chen Sun" 1
"Christoph Dietzel" 3
"Claudio Soriente" 24
"Costas Iordanou" 2
"Costin Raiciu" 24
"David Choffnes" 24
"David Walker" 46
"Dingming Wu" 2
"Dongsu Han" 20
"Ethan Katz-Bassett" 21
"Fadel Adib" 10
"Fan Yang" 5
"George Candea" 35
"George Porter" 24
"George Varghese" 73
"Georgios Smaragdakis" 21
"Gianni Antichi" 11
"Gil Einziger" 6
"Gong Zhang" 5
"Haitham Hassanieh" 13
"Harsha V. Madhyastha" 27
"Hong Zhang" 3
"Hongxin Hu" 27
"Hongyi Zeng" 10
"Hongzi Mao" 4
"Ilias Marinos" 4
"Inho Cho" 1
"Isaac Keslassy" 22
"Italo Cunha" 13
"James Hongyi Zeng" 10
"Janardhan Iyengar" 22
"Jennifer Rexford" 95
"Jeongkeun Lee" 21
"Jinho Hwang" 12
"John W. Byers" 41
"Jun Bi" 21
"Justine Sherry" 12
"K. K. Ramakrishnan" 71
"Kai Chen" 16
"Katerina Argyraki" 21
"Keith Winstein" 12
"Keon Jang" 14
"Klaus-Tycho Förster" 7
"Kok-Kiong Yap" 20
"Kun Tan" 28
"Kyle Jamieson" 27
"Laurent Vanbever" 16
"Longfei Shangguan" 11
"Lorenzo Alvisi" 43
"Luis Pedrosa" 8
"Marcelo Caggiani Luizelli" 3
"Marcin Wójcik" 7
"Marco Canini" 21
"Mark Crovella" 64
"Mark Handley" 73
"Masaharu Morimoto" 4
"Matt Tierney" 1
"Matthew Luckie" 18
"Mayutan Arumaithurai" 11
"Melvin Walls" 2
"Michael Mitzenmacher" 71
"Michael Schapira" 26
"Michael Sirivianos" 13
"Michael Walfish" 23
"Ming Zhang" 35
"Minlan Yu" 24
"Mohammad Alizadeh" 17
"Monia Ghobadi" 11
"Mosharaf Chowdhury" 19
"Muhammed Uluyol" 2
"Mukarram Tariq" 9
"Murtaza Motiwala" 8
"Nate Foster" 30
"Nikolaos Laoutaris" 28
"Olaf Maennel" 20
"Osman Yagan" 18
"Pablo Rodriguez Rodriguez" 57
"Pamela Zave" 31
"Patrick P. C. Lee" 28
"Peter Steenkiste" 59
"Phillipa Gill" 23
"Prateesh Goyal" 1
"Qun Huang" 3
"Raja R. Sambasivan" 10
"Rajeev Alur" 78
"Ranveer Chandra" 51
"Rashad Eletreby" 3
"Ratul Mahajan" 46
"Ravi Netravali" 7
"Renata Teixeira" 30
"Robbie Shade" 3
"Robert Beverly" 18
"Robert N. M. Watson" 21
"Ronaldo A. Ferreira" 9
"Roy Friedman" 32
"Rubén Cuevas" 16
"Rui Miao" 9
"Runhui Li" 5
"Scott Shenker" 144
"Sharon Goldberg" 19
"Shriram Rajagopalan" 7
"Shyamnath Gollakota" 25
"Simbarashe Dzinamarira" 1
"Simon Kassing" 1
"Soudeh Ghorbani" 6
"Srinivas Narayana" 5
"Stefano Vissicchio" 15
"Sujata Banerjee" 36
"Suman Banerjee" 51
"Swarun Kumar" 11
"Sylvia Ratnasamy" 51
"T. S. Eugene Ng" 31
"Theo Benson" 16
"Thomas Anderson" 89
"Timothy Wood" 28
"Trinabh Gupta" 6
"Vasileios Giotsas" 9
"Vaspol Ruamviboonsuk" 2
"Venkat Arun" 3
"Venkat Padmanabhan" 56
"Vimalkumar Jeyakumar" 10
"Vyas Sekar" 38
"Vytautas Valancius" 10
"Walter Willinger" 69
"Wei Bai" 8
"Xenofontas Dimitropoulos" 23
"Xiaoming Fu" 27
"Xiaoye Steven Sun" 3
"Xin Jin" 11
"Xuan Kelvin Zou" 4
"Yashar Ganjali" 26
"Yi-Chao Chen" 12
"Yifei Yuan" 5
"Yiting Xia" 3
"Z. Morley Mao" 59
"Zafar Qazi" 5
"Agostino Cortesi" 25
"Alessandro Warth" 10
"Andrea Mauri" 6
"Andreas Wortmann" 10
"Ankica Barisic" 7
"Anthony Sloane" 17
"Bart Meyers" 7
"Bernd Fischer" 24
"Bernhard Rumpe" 51
"Bruno C. D. S. Oliveira" 16
"Dominique Blouin" 8
"Ed Seidewitz" 11
"Eelco Visser" 45
"Emma Söderberg" 6
"Eric Walkingshaw" 10
"Esther Guerra" 27
"Eugene Syriani" 16
"Friedrich Steimann" 1
"Gunter Mussbacher" 20
"Görel Hedin" 23
"Hans Vangheluwe" 33
"Haoyuan Zhang" 0
"Jan Ringert" 15
"Jaroslav Porubän" 10
"Javier Luis Canovas Izquierdo" 13
"Jeff Gray" 35
"Jesper Öqvist" 2
"Jordi Cabot" 30
"João Paulo Fernandes" 12
"João Saraiva" 22
"Julia Rubin" 17
"Jurgen Vinju" 18
"Jácome Cunha" 13
"Lukas Härtel" 1
"Manuel Wimmer" 33
"Marco Brambilla" 29
"Marco Couto" 3
"Marjan Mernik" 33
"Mark van den Brand" 31
"Markus Voelter" 35
"Marsha Chechik" 38
"Martin Rinard" 64
"Matthew Flatt" 33
"Michael Homer" 7
"Miguel Goulao" 16
"Nicolas Laurent" 3
"Patrick Dubroy" 4
"Pieter Spronck" 27
"Ralf Lämmel" 37
"Rui H. Pereira" 5
"Ruth Breu" 29
"Sagar Sunkle" 10
"Scott Buckley" 2
"Sebastian Gerard" 27
"Simon Van Mierlo" 5
"Suman Roychoudhury" 12
"Terence Parr" 14
"Thorsten Berger" 21
"Tihamer Levendovszky" 20
"Tony Clark" 22
"Vadim Zaytsev" 13
"Vasco Amaral" 20
"Vinay Kulkarni" 13
"Walter Cazzola" 22
"Yentl Van Tendeloo" 6
"Aaron D. Jaggard" 21
"Aaron Johnson" 14
"Abdelberi Chaabane" 9
"Adam Bates" 11
"Adam J. Aviv" 12
"Ahmad-Reza Sadeghi" 57
"Aleksander Essex" 13
"Alessandra Scafuro" 11
"Alex Biryukov" 42
"Ali Zand" 5
"Alina Oprea" 22
"Amir Herzberg" 39
"Amir Houmansadr" 18
"Amir Rahmati" 6
"Amol Deshpande" 37
"Anastasis Keliris" 2
"Andre Pawlowski" 2
"Andrea Continella" 1
"Andrea Patané" 4
"Andrew Miller" 27
"Aniket Kate" 18
"Antonio Bianchi" 8
"Antonio Sanso" 2
"Anupam Datta" 29
"Aravind Machiry" 2
"Ari Jules" 68
"Arpita Patra" 15
"Atul Prakash" 36
"Aurélien Francillon" 20
"Babak Rahbarinia" 5
"Ben Gras" 11
"Ben Livshits" 33
"Ben Taylor" 8
"Bin Liu" 1
"Bo Li" 13
"Brendan Saltaformaggio" 5
"Bum Jun Kwon" 2
"Byoungyoung Lee" 11
"Calton Pu" 61
"Carlo Alberto Boano" 17
"Carmela Troncoso" 19
"Chad Spensky" 2
"Changhoon Yoon" 2
"Charalampos Papamanthou" 21
"Chen Qian" 14
"Christian Rossow" 21
"Christina Poepper" 10
"Christo Wilson" 23
"Christopher Kruegel" 83
"Christopher Liebchen" 9
"Christopher Salls" 2
"Christopher W. Fletcher" 16
"Chuangang Ren" 8
"Chunyi Peng" 21
"Claude Castelluccia" 42
"Claude Fachkha" 6
"Clémentine Maurice" 7
"Cristiano Giuffrida" 16
"Dana Dachman-Soled" 14
"Daniel Gruss" 7
"Daniel S. Roche" 10
"David Adrian" 6
"David Barrera" 12
"David Evans" 38
"Davide Balzarotti" 33
"Domenic J. Forte" 18
"Donghyun Kwon" 3
"Dongyan Xu" 46
"Drew Springall" 2
"Earlence Fernandes" 7
"Edward Suh" 30
"Elaine Shi" 46
"Elias Athanasopoulos" 19
"Elias Bou-Harb" 10
"Elie Bursztein" 21
"Emiliano De Cristofaro" 26
"Engin Kirda" 59
"Enrico Mariconti" 1
"Erik Bosman" 4
"Erman Ayday" 15
"Ethan Heilman" 6
"Farinaz Koushanfar" 41
"Fatma Deniz" 3
"Florian Shaub" 18
"Foteini Baldimtsi" 9
"Gail-Joon Ahn" 44
"Ghada Dessouky" 2
"Gianluca Stringhini" 15
"Giovanni Vigna" 70
"Gordon Ross" 7
"Guofei Gu" 35
"Guohao Lan" 2
"Guolei Yang" 3
"Haibo Chen" 28
"Hamed Okhravi" 16
"Haya Shulman" 11
"Heng Yin" 25
"Herbert Bos" 35
"Hongda Li" 2
"Hovav Shacham" 40
"Hui Liu" 50
"I Luk Kim" 1
"Ian Miers" 7
"Insik Shin" 23
"Isil Dillig" 18
"Ittay Eyal" 9
"Ivan Martinovic" 22
"J. Alex Halderman" 33
"Jesper Buus Nielsen" 31
"Jienan Liu" 0
"Joan Feigenbaum" 47
"Joel Reidenberg" 19
"Johannes Kiesel" 3
"John Grosen" 2
"Jonathan McCune" 29
"Joshua Fried" 3
"Juan Caballero" 21
"Juanru Li" 30
"Jun Sakuma" 15
"Kangjie Lu" 9
"Kartik Nayak" 5
"Kaveh Razavi" 10
"Kay Römer" 39
"Kevin Butler" 23
"Kuang-Ching Wang" 16
"Kwang In Ki" 22
"Kyu Hyung Lee" 8
"Ling Liu" 59
"Ling Ren" 12
"Lingyu Wang" 26
"Long Lu" 8
"Lorenzo Cavallaro" 19
"Lucas Davi" 21
"Lucian Cojocar" 2
"Lucky Onwuzurike" 2
"Luis Garcia" 2
"Lujo Bauer" 37
"Luke Valenta" 6
"Mahbub Hassan" 22
"Makan Pourzandi" 12
"Manos Antonakakis" 17
"Manuel Egele" 21
"Manuel Gomez Rodriguez" 19
"Manuel Weber" 1
"Marcella Hastings" 2
"Markus Dürmuth" 15
"Marta Kwiatkowska" 55
"Martina Lindorfer" 10
"Mathias Payer" 17
"Matteo Maffei" 23
"Matthew Fredrikson" 14
"Maximilian Golla" 2
"Mehmet H. Cintuglu" 6
"Micah Sherr" 23
"Michael Backes" 51
"Michael Bailey" 27
"Michael Collins" 12
"Michael Reiter" 76
"Michael Schwarz" 3
"Michael Zohner" 11
"Ming-Wei Shih" 3
"Ming-Wei-Shih" 3
"Moritz Contag" 2
"Mourad Debbabi" 29
"Muhammad Naveed" 14
"Mustaque Ahamad" 35
"Nadia Heninger" 14
"Najmeh Miramirkhani" 1
"Nasir Memon" 72
"Nathan Dautenhahn" 7
"Neil Bergmann" 23
"Neil Zhenqiang Gong" 10
"Nick Feamster" 55
"Nick Nikiforakis" 19
"Nick Sullivan" 6
"Nicola Paoletti" 9
"Nicolas Christin" 36
"Nikos Triandopoulos" 22
"Nishanth Chandran" 15
"Norman Sadeh" 52
"Oleksii Starov" 7
"Osbert Bastani" 6
"Panagiotis Andriotis" 4
"Patrick McDaniel" 49
"Patrick Traynor" 27
"Paul Syverson" 49
"Payman Mohassel" 19
"Pedro Moreno-Sanchez" 8
"Peng Liu" 38
"Per Larsen" 12
"Phani Vadrevu" 1
"Philipp Winter" 8
"Prateek Mittal" 22
